ID	RegimeName	Category	ShortDescription	Region	ExampleCountry
1	Regime 001	Nation-State Governance	Traditional state model with centralized authority #1	Africa	Nigeria
2	Regime 002	Market-Dominant Governance	Economic-driven governance emphasizing market forces #2	Asia	India
3	Regime 003	Algorithmic Governance	Automated decision systems guiding policy and regulation #3	Europe	France
4	Regime 004	Nation-State Governance	Traditional state model with centralized authority #4	Americas	Mexico
5	Regime 005	Market-Dominant Governance	Economic-driven governance emphasizing market forces #5	Oceania	Samoa
6	Regime 006	Algorithmic Governance	Automated decision systems guiding policy and regulation #6	Global	European Union
7	Regime 007	Nation-State Governance	Traditional state model with centralized authority #7	Africa	Kenya
8	Regime 008	Market-Dominant Governance	Economic-driven governance emphasizing market forces #8	Asia	Japan
9	Regime 009	Algorithmic Governance	Automated decision systems guiding policy and regulation #9	Europe	Italy
10	Regime 010	Nation-State Governance	Traditional state model with centralized authority #10	Americas	Argentina
11	Regime 011	Market-Dominant Governance	Economic-driven governance emphasizing market forces #11	Oceania	Australia
12	Regime 012	Algorithmic Governance	Automated decision systems guiding policy and regulation #12	Global	United Nations
13	Regime 013	Nation-State Governance	Traditional state model with centralized authority #13	Africa	South Africa
14	Regime 014	Market-Dominant Governance	Economic-driven governance emphasizing market forces #14	Asia	South Korea
15	Regime 015	Algorithmic Governance	Automated decision systems guiding policy and regulation #15	Europe	Spain
16	Regime 016	Nation-State Governance	Traditional state model with centralized authority #16	Americas	United States
17	Regime 017	Market-Dominant Governance	Economic-driven governance emphasizing market forces #17	Oceania	New Zealand
18	Regime 018	Algorithmic Governance	Automated decision systems guiding policy and regulation #18	Global	Multinational Consortium
19	Regime 019	Nation-State Governance	Traditional state model with centralized authority #19	Africa	Egypt
20	Regime 020	Market-Dominant Governance	Economic-driven governance emphasizing market forces #20	Asia	Indonesia
21	Regime 021	Algorithmic Governance	Automated decision systems guiding policy and regulation #21	Europe	United Kingdom
22	Regime 022	Nation-State Governance	Traditional state model with centralized authority #22	Americas	Canada
23	Regime 023	Market-Dominant Governance	Economic-driven governance emphasizing market forces #23	Oceania	Fiji
24	Regime 024	Algorithmic Governance	Automated decision systems guiding policy and regulation #24	Global	Global Financial Forum
25	Regime 025	Nation-State Governance	Traditional state model with centralized authority #25	Africa	Ghana
26	Regime 026	Market-Dominant Governance	Economic-driven governance emphasizing market forces #26	Asia	China
27	Regime 027	Algorithmic Governance	Automated decision systems guiding policy and regulation #27	Europe	Germany
28	Regime 028	Nation-State Governance	Traditional state model with centralized authority #28	Americas	Brazil
29	Regime 029	Market-Dominant Governance	Economic-driven governance emphasizing market forces #29	Oceania	Papua New Guinea
30	Regime 030	Algorithmic Governance	Automated decision systems guiding policy and regulation #30	Global	International Coalition
31	Regime 031	Nation-State Governance	Traditional state model with centralized authority #31	Africa	Nigeria
32	Regime 032	Market-Dominant Governance	Economic-driven governance emphasizing market forces #32	Asia	India
33	Regime 033	Algorithmic Governance	Automated decision systems guiding policy and regulation #33	Europe	France
34	Regime 034	Nation-State Governance	Traditional state model with centralized authority #34	Americas	Mexico
35	Regime 035	Market-Dominant Governance	Economic-driven governance emphasizing market forces #35	Oceania	Samoa
36	Regime 036	Algorithmic Governance	Automated decision systems guiding policy and regulation #36	Global	European Union
37	Regime 037	Nation-State Governance	Traditional state model with centralized authority #37	Africa	Kenya
38	Regime 038	Market-Dominant Governance	Economic-driven governance emphasizing market forces #38	Asia	Japan
39	Regime 039	Algorithmic Governance	Automated decision systems guiding policy and regulation #39	Europe	Italy
40	Regime 040	Nation-State Governance	Traditional state model with centralized authority #40	Americas	Argentina
41	Regime 041	Market-Dominant Governance	Economic-driven governance emphasizing market forces #41	Oceania	Australia
42	Regime 042	Algorithmic Governance	Automated decision systems guiding policy and regulation #42	Global	United Nations
43	Regime 043	Nation-State Governance	Traditional state model with centralized authority #43	Africa	South Africa
44	Regime 044	Market-Dominant Governance	Economic-driven governance emphasizing market forces #44	Asia	South Korea
45	Regime 045	Algorithmic Governance	Automated decision systems guiding policy and regulation #45	Europe	Spain
46	Regime 046	Nation-State Governance	Traditional state model with centralized authority #46	Americas	United States
47	Regime 047	Market-Dominant Governance	Economic-driven governance emphasizing market forces #47	Oceania	New Zealand
48	Regime 048	Algorithmic Governance	Automated decision systems guiding policy and regulation #48	Global	Multinational Consortium
49	Regime 049	Nation-State Governance	Traditional state model with centralized authority #49	Africa	Egypt
50	Regime 050	Market-Dominant Governance	Economic-driven governance emphasizing market forces #50	Asia	Indonesia
51	Regime 051	Algorithmic Governance	Automated decision systems guiding policy and regulation #51	Europe	United Kingdom
52	Regime 052	Nation-State Governance	Traditional state model with centralized authority #52	Americas	Canada
53	Regime 053	Market-Dominant Governance	Economic-driven governance emphasizing market forces #53	Oceania	Fiji
54	Regime 054	Algorithmic Governance	Automated decision systems guiding policy and regulation #54	Global	Global Financial Forum
55	Regime 055	Nation-State Governance	Traditional state model with centralized authority #55	Africa	Ghana
56	Regime 056	Market-Dominant Governance	Economic-driven governance emphasizing market forces #56	Asia	China
57	Regime 057	Algorithmic Governance	Automated decision systems guiding policy and regulation #57	Europe	Germany
58	Regime 058	Nation-State Governance	Traditional state model with centralized authority #58	Americas	Brazil
59	Regime 059	Market-Dominant Governance	Economic-driven governance emphasizing market forces #59	Oceania	Papua New Guinea
60	Regime 060	Algorithmic Governance	Automated decision systems guiding policy and regulation #60	Global	International Coalition
61	Regime 061	Nation-State Governance	Traditional state model with centralized authority #61	Africa	Nigeria
62	Regime 062	Market-Dominant Governance	Economic-driven governance emphasizing market forces #62	Asia	India
63	Regime 063	Algorithmic Governance	Automated decision systems guiding policy and regulation #63	Europe	France
64	Regime 064	Nation-State Governance	Traditional state model with centralized authority #64	Americas	Mexico
65	Regime 065	Market-Dominant Governance	Economic-driven governance emphasizing market forces #65	Oceania	Samoa
66	Regime 066	Algorithmic Governance	Automated decision systems guiding policy and regulation #66	Global	European Union
67	Regime 067	Nation-State Governance	Traditional state model with centralized authority #67	Africa	Kenya
68	Regime 068	Market-Dominant Governance	Economic-driven governance emphasizing market forces #68	Asia	Japan
69	Regime 069	Algorithmic Governance	Automated decision systems guiding policy and regulation #69	Europe	Italy
70	Regime 070	Nation-State Governance	Traditional state model with centralized authority #70	Americas	Argentina
71	Regime 071	Market-Dominant Governance	Economic-driven governance emphasizing market forces #71	Oceania	Australia
72	Regime 072	Algorithmic Governance	Automated decision systems guiding policy and regulation #72	Global	United Nations
73	Regime 073	Nation-State Governance	Traditional state model with centralized authority #73	Africa	South Africa
74	Regime 074	Market-Dominant Governance	Economic-driven governance emphasizing market forces #74	Asia	South Korea
75	Regime 075	Algorithmic Governance	Automated decision systems guiding policy and regulation #75	Europe	Spain
76	Regime 076	Nation-State Governance	Traditional state model with centralized authority #76	Americas	United States
77	Regime 077	Market-Dominant Governance	Economic-driven governance emphasizing market forces #77	Oceania	New Zealand
78	Regime 078	Algorithmic Governance	Automated decision systems guiding policy and regulation #78	Global	Multinational Consortium
79	Regime 079	Nation-State Governance	Traditional state model with centralized authority #79	Africa	Egypt
80	Regime 080	Market-Dominant Governance	Economic-driven governance emphasizing market forces #80	Asia	Indonesia
81	Regime 081	Algorithmic Governance	Automated decision systems guiding policy and regulation #81	Europe	United Kingdom
82	Regime 082	Nation-State Governance	Traditional state model with centralized authority #82	Americas	Canada
83	Regime 083	Market-Dominant Governance	Economic-driven governance emphasizing market forces #83	Oceania	Fiji
84	Regime 084	Algorithmic Governance	Automated decision systems guiding policy and regulation #84	Global	Global Financial Forum
85	Regime 085	Nation-State Governance	Traditional state model with centralized authority #85	Africa	Ghana
86	Regime 086	Market-Dominant Governance	Economic-driven governance emphasizing market forces #86	Asia	China
87	Regime 087	Algorithmic Governance	Automated decision systems guiding policy and regulation #87	Europe	Germany
88	Regime 088	Nation-State Governance	Traditional state model with centralized authority #88	Americas	Brazil
89	Regime 089	Market-Dominant Governance	Economic-driven governance emphasizing market forces #89	Oceania	Papua New Guinea
90	Regime 090	Algorithmic Governance	Automated decision systems guiding policy and regulation #90	Global	International Coalition
91	Regime 091	Nation-State Governance	Traditional state model with centralized authority #91	Africa	Nigeria
92	Regime 092	Market-Dominant Governance	Economic-driven governance emphasizing market forces #92	Asia	India
93	Regime 093	Algorithmic Governance	Automated decision systems guiding policy and regulation #93	Europe	France
94	Regime 094	Nation-State Governance	Traditional state model with centralized authority #94	Americas	Mexico
95	Regime 095	Market-Dominant Governance	Economic-driven governance emphasizing market forces #95	Oceania	Samoa
96	Regime 096	Algorithmic Governance	Automated decision systems guiding policy and regulation #96	Global	European Union
97	Regime 097	Nation-State Governance	Traditional state model with centralized authority #97	Africa	Kenya
98	Regime 098	Market-Dominant Governance	Economic-driven governance emphasizing market forces #98	Asia	Japan
99	Regime 099	Algorithmic Governance	Automated decision systems guiding policy and regulation #99	Europe	Italy
100	Regime 100	Nation-State Governance	Traditional state model with centralized authority #100	Americas	Argentina
101	Regime 101	Market-Dominant Governance	Economic-driven governance emphasizing market forces #101	Oceania	Australia
